Type,Method,Size,Run,Correct,Total Time (ms),Kernel Time (ms)
uint32,SingleThread,10,1,true,0.02423,0.00728
uint32,SingleThread,10,2,true,0.02352,0.00819
uint32,SingleThread,10,3,true,0.02954,0.00614
uint32,SingleThread,100,1,true,0.06038,0.04710
uint32,SingleThread,100,2,true,0.05952,0.04746
uint32,SingleThread,100,3,true,0.05981,0.04710
uint32,SingleThread,1000,1,true,0.61718,0.60109
uint32,SingleThread,1000,2,true,0.61770,0.60109
uint32,SingleThread,1000,3,true,0.61715,0.60006
uint32,SingleThread,10000,1,true,8.00557,7.98515
uint32,SingleThread,10000,2,true,8.00650,7.98413
uint32,SingleThread,10000,3,true,8.00560,7.98515
uint32,SingleThread,100000,1,true,119.42458,119.34144
uint32,SingleThread,100000,2,true,112.83674,112.74755
uint32,SingleThread,100000,3,true,111.61344,111.52643
uint32,SingleThread,1000000,1,true,1330.95264,1330.38757
uint32,SingleThread,1000000,2,true,1330.97693,1330.43176
uint32,SingleThread,1000000,3,true,1330.96460,1330.42542
uint32,SingleThread,10000000,1,true,18757.48438,18752.85938
uint32,SingleThread,10000000,2,true,18383.24219,18378.63867
uint32,SingleThread,10000000,3,true,18375.58594,18370.98633
uint32,ParallelNaive,10,1,true,0.04918,0.02970
uint32,ParallelNaive,10,2,true,0.01942,0.00614
uint32,ParallelNaive,10,3,true,0.01837,0.00512
uint32,ParallelNaive,100,1,true,0.04333,0.03379
uint32,ParallelNaive,100,2,true,0.04323,0.03277
uint32,ParallelNaive,100,3,true,0.04320,0.03379
uint32,ParallelNaive,1000,1,true,0.10013,0.08397
uint32,ParallelNaive,1000,2,true,0.09482,0.08090
uint32,ParallelNaive,1000,3,true,0.09533,0.08118
uint32,ParallelNaive,10000,1,true,0.14560,0.12288
uint32,ParallelNaive,10000,2,true,0.14525,0.12288
uint32,ParallelNaive,10000,3,true,0.14442,0.12291
uint32,ParallelNaive,100000,1,true,0.59645,0.51197
uint32,ParallelNaive,100000,2,true,0.61075,0.51472
uint32,ParallelNaive,100000,3,true,0.59856,0.51299
uint32,ParallelNaive,1000000,1,true,4.85293,4.31178
uint32,ParallelNaive,1000000,2,true,4.83117,4.30886
uint32,ParallelNaive,1000000,3,true,4.83635,4.31466
uint32,ParallelNaive,10000000,1,true,63.47488,58.87411
uint32,ParallelNaive,10000000,2,true,64.08861,59.49689
uint32,ParallelNaive,10000000,3,true,63.95296,59.34797
int32,SingleThread,10,1,true,0.04275,0.02458
int32,SingleThread,10,2,true,0.01875,0.00614
int32,SingleThread,10,3,true,0.01853,0.00614
int32,SingleThread,100,1,true,0.05939,0.04506
int32,SingleThread,100,2,true,0.06022,0.04403
int32,SingleThread,100,3,true,0.05990,0.04403
int32,SingleThread,1000,1,true,0.57600,0.56115
int32,SingleThread,1000,2,true,0.57571,0.56115
int32,SingleThread,1000,3,true,0.57635,0.56218
int32,SingleThread,10000,1,true,7.48829,7.46125
int32,SingleThread,10000,2,true,7.48147,7.46086
int32,SingleThread,10000,3,true,7.49360,7.45984
int32,SingleThread,100000,1,true,111.60605,111.52397
int32,SingleThread,100000,2,true,111.61420,111.53027
int32,SingleThread,100000,3,true,111.60787,111.52451
int32,SingleThread,1000000,1,true,1331.06470,1330.52893
int32,SingleThread,1000000,2,true,1330.93726,1330.38562
int32,SingleThread,1000000,3,true,1331.38171,1330.86243
int32,SingleThread,10000000,1,true,18766.95117,18762.27930
int32,SingleThread,10000000,2,true,18376.83984,18372.21875
int32,SingleThread,10000000,3,true,18388.45703,18383.85938
int32,ParallelNaive,10,1,true,0.04845,0.02765
int32,ParallelNaive,10,2,true,0.01904,0.00621
int32,ParallelNaive,10,3,true,0.01930,0.00614
int32,ParallelNaive,100,1,true,0.04256,0.03277
int32,ParallelNaive,100,2,true,0.04330,0.03277
int32,ParallelNaive,100,3,true,0.04314,0.03306
int32,ParallelNaive,1000,1,true,0.09466,0.08400
int32,ParallelNaive,1000,2,true,0.09462,0.08090
int32,ParallelNaive,1000,3,true,0.09440,0.08090
int32,ParallelNaive,10000,1,true,0.14432,0.12314
int32,ParallelNaive,10000,2,true,0.14509,0.12288
int32,ParallelNaive,10000,3,true,0.14506,0.12288
int32,ParallelNaive,100000,1,true,0.59747,0.51312
int32,ParallelNaive,100000,2,true,0.59942,0.51178
